"allegation_interval_days","bad_officer"
"130","False"
"147","False"
"875","False"
"360","False"
"371","False"
"143","True"
"63","True"
"8","True"
"525","True"
"92","True"
"106","True"
"817","False"
"97","False"
"407","False"
"216","False"
"870","False"
"23","False"
"89","False"
"37","False"
"127","True"
"316","True"
"183","True"
"71","True"
"12","True"
"290","True"
"15","True"
"0","True"
"653","True"
"102","False"
"40","False"
"15","False"
"22","False"
"152","True"
"461","False"
"762","False"
"193","False"
"389","False"
"251","False"
"178","False"
"151","False"
"79","False"
"364","False"
"361","False"
"64","False"
"212","False"
"76","False"
"275","False"
"18","False"
"749","False"
"242","False"
"487","False"
"79","False"
"212","False"
"740","False"
"238","False"
"711","False"
"182","False"
"534","False"
"404","False"
"393","False"
"192","False"
"390","False"
"378","False"
"105","False"
"2","False"
"687","False"
"958","False"
"64","False"
"544","False"
"529","False"
"358","False"
"98","False"
"240","False"
"8","False"
"42","False"
"13","False"
"79","False"
"212","False"
"28","False"
"690","False"
"204","False"
"770","False"
"33","False"
"246","False"
"10","False"
"300","False"
"822","False"
"10","False"
"185","False"
"104","False"
"39","False"
"133","False"
"241","False"
"737","False"
"128","False"
"345","False"
"958","False"
"118","False"
"205","False"
"383","False"
"561","False"
"39","False"
"138","False"
"291","False"
"64","False"
"356","False"
"96","False"
"249","False"
"261","False"
"90","False"
"573","False"
"173","False"
"370","False"
"129","False"
"892","False"
"24","False"
"60","False"
"2","False"
"20","False"
"33","False"
"341","False"
"8","False"
"40","False"
"120","False"
"161","False"
"862","False"
"17","False"
"389","False"
"33","False"
"897","False"
"207","False"
"148","False"
"307","False"
"736","False"
"358","False"
"339","False"
"70","False"
"68","False"
"30","False"
"111","False"
"34","False"
"53","False"
"724","False"
"193","False"
"175","False"
"65","False"
"19","False"
"526","False"
"57","True"
"67","True"
"399","True"
"0","False"
"239","False"
"262","False"
"54","False"
"109","False"
"845","False"
"25","False"
"93","False"
"131","False"
"13","False"
"42","False"
"91","False"
"130","False"
"189","False"
"162","False"
"149","False"
"7","False"
"475","False"
"113","False"
"441","False"
"786","False"
"106","False"
"377","False"
"180","False"
"65","False"
"52","True"
"127","True"
"65","True"
"235","False"
"659","False"
"204","False"
"504","False"
"229","False"
"223","False"
"656","False"
"137","False"
"554","False"
"658","False"
"232","False"
"151","False"
"789","False"
"604","False"
"206","False"
"97","False"
"16","False"
"88","False"
"232","False"
"106","False"
"15","False"
"878","False"
"74","False"
"62","False"
"586","True"
"3","False"
"115","False"
"293","False"
"129","False"
"233","False"
"733","False"
"87","False"
"157","True"
"175","True"
"126","False"
"19","False"
"4","False"
"513","False"
"140","False"
"217","False"
"244","False"
"43","False"
"3","False"
"45","False"
"281","False"
"2","False"
"84","False"
"396","False"
"15","False"
"200","False"
"1","False"
"20","True"
"373","False"
"147","False"
"106","False"
"4","False"
"346","True"
"242","False"
"185","False"
"389","False"
"739","False"
"199","False"
"90","False"
"367","False"
"268","False"
"71","False"
"103","False"
"90","True"
"22","True"
"21","True"
"200","False"
"8","False"
"161","False"
"204","False"
"215","False"
"154","False"
"303","False"
"361","False"
"914","False"
"75","False"
"6","False"
"15","False"
"127","True"
"99","True"
"590","True"
"263","False"
"561","False"
"223","False"
"74","False"
"292","True"
"27","True"
"115","True"
"727","False"
"827","False"
"755","False"
"443","False"
"9","False"
"113","False"
"75","False"
"45","False"
"188","False"
"185","False"
"3","False"
"125","False"
"115","False"
"316","False"
"190","False"
"130","False"
"11","False"
"555","False"
"70","False"
"199","False"
"290","False"
"143","False"
"664","False"
"350","False"
"12","False"
"26","False"
"189","False"
"22","False"
"0","False"
"26","False"
"81","False"
"331","False"
"4","False"
"109","True"
"39","True"
"243","True"
"896","False"
"262","False"
"79","False"
"16","True"
"16","True"
"114","True"
"5","True"
"28","True"
"329","False"
"315","True"
"946","False"
"12","False"
"7","False"
"21","False"
"22","False"
"9","False"
"885","False"
"602","True"
"28","True"
"52","True"
"36","True"
"50","True"
"35","True"
"0","True"
"38","True"
"133","False"
"66","True"
"115","True"
"278","True"
"191","True"
"56","True"
"35","False"
"355","False"
"708","False"
"133","False"
"226","False"
"568","False"
"30","False"
"174","False"
"71","False"
"263","False"
"613","False"
"196","False"
"20","False"
"88","False"
"693","False"
"81","False"
"117","False"
"109","False"
"569","True"
"351","False"
"605","False"
"72","False"
"2","False"
"16","False"
"155","False"
"293","False"
"69","False"
"98","False"
"257","False"
"763","True"
"126","True"
"72","True"
"18","True"
"84","True"
"14","True"
"44","False"
"867","False"
"0","False"
"96","False"
"45","True"
"114","True"
"13","False"
"873","False"
"150","False"
"483","False"
"701","False"
"202","False"
"183","False"
"110","False"
"326","False"
"500","False"
"22","False"
"131","True"
"144","True"
"690","False"
"321","False"
"404","False"
"20","False"
"173","False"
"215","False"
"147","False"
"22","False"
"207","False"
"407","False"
"519","False"
"292","False"
"0","False"
"63","False"
"66","False"
"6","False"
"140","True"
"76","False"
"98","False"
"200","False"
"271","False"
"220","False"
"86","False"
"283","False"
"154","False"
"104","False"
"294","False"
"189","False"
"48","False"
"1","False"
"92","False"
"463","False"
"219","True"
"81","True"
"727","True"
"143","True"
"14","True"
"29","True"
"318","True"
"152","True"
"10","True"
"930","False"
"704","False"
"458","False"
"166","False"
"97","False"
"169","False"
"277","False"
"17","False"
"82","False"
"167","False"
"209","False"
"73","False"
"188","False"
"16","False"
"155","False"
"0","True"
"221","True"
"62","True"
"4","True"
"94","True"
"114","False"
"242","False"
"265","False"
"45","False"
"85","False"
"512","False"
"16","False"
"179","False"
"238","False"
"874","False"
"255","False"
"344","False"
"886","False"
"69","False"
"21","False"
"28","False"
"285","False"
"77","False"
"497","False"
"86","False"
"80","False"
"30","False"
"336","False"
"35","True"
"177","True"
"29","True"
"57","True"
"26","True"
"76","True"
"9","True"
"11","True"
"58","True"
"4","True"
"97","True"
"300","True"
"71","True"
"378","False"
"251","False"
"597","False"
"102","False"
"167","False"
"82","False"
"64","False"
"0","False"
"476","False"
"27","True"
"386","False"
"72","False"
"12","False"
"782","False"
"453","False"
"51","True"
"165","False"
"675","False"
"25","False"
"307","False"
"58","False"
"24","True"
"75","True"
"223","True"
"41","True"
"7","True"
"52","True"
"12","True"
"0","True"
"106","True"
"76","True"
"127","True"
"495","False"
"0","False"
"326","False"
"120","True"
"163","False"
"75","False"
"278","False"
"959","False"
"189","True"
"30","True"
"284","True"
"83","False"
"1","False"
"7","False"
"191","False"
"61","False"
"51","False"
"20","False"
"355","False"
"157","False"
"339","False"
"76","False"
"431","False"
"822","False"
"32","False"
"179","False"
"140","False"
"346","False"
"30","False"
"60","False"
"53","False"
"90","False"
"93","False"
"281","False"
"168","False"
"382","False"
"8","False"
"79","False"
"46","False"
"715","False"
"19","False"
"581","False"
"30","False"
"3","False"
"18","False"
"175","False"
"74","False"
"150","False"
"228","False"
"757","False"
"121","False"
"313","False"
"763","False"
"410","False"
"99","False"
"53","False"
"94","False"
"240","False"
"604","False"
"80","False"
"254","False"
"35","False"
"27","False"
"0","False"
"0","True"
"107","False"
"191","False"
"123","False"
"500","False"
"57","False"
"387","False"
"38","False"
"97","False"
"437","True"
"138","True"
"15","True"
"169","False"
"35","False"
"210","True"
"194","True"
"531","False"
"116","False"
"169","False"
"185","False"
"48","False"
"195","False"
"830","False"
"104","False"
"221","False"
"126","False"
"33","False"
"40","True"
"0","True"
"132","True"
"25","True"
"9","True"
"515","False"
"27","False"
"140","False"
"763","False"
"115","False"
"159","False"
"89","False"
"351","False"
"581","False"
"938","False"
"5","False"
"526","False"
"83","False"
"734","False"
"80","False"
"72","False"
"553","False"
"162","False"
"0","False"
"162","False"
"443","False"
"281","False"
"1","False"
"7","False"
"647","False"
"312","False"
"163","False"
"259","False"
"104","False"
"33","False"
"690","False"
"115","False"
"332","False"
"946","False"
"24","False"
"259","False"
"258","False"
"0","False"
"443","False"
"618","False"
"237","False"
"378","False"
"324","False"
"189","False"
"249","False"
"203","False"
"54","False"
"32","False"
"493","False"
"199","False"
"56","False"
"14","True"
"26","True"
"238","False"
