"officer_id","row_number","incident_date","incident_date-2","allegation_interval","goodorbad"
60,"401","2015-09-01 19:00:00-05","2016-01-30 18:00:00-06","151 days","good"
107,"729","2015-04-03 19:00:00-05","2015-05-19 19:00:00-05","46 days","good"
107,"730","2015-05-19 19:00:00-05","2016-02-26 18:00:00-06","283 days","good"
135,"1020","2015-05-04 19:00:00-05","2015-10-13 19:00:00-05","162 days","good"
152,"1135","2015-06-15 19:00:00-05","2015-11-01 18:00:00-06","139 days","good"
152,"1136","2015-11-01 18:00:00-06","2015-11-09 18:00:00-06","8 days","good"
187,"1341","2015-01-15 18:00:00-06","2015-03-29 19:00:00-05","73 days","good"
187,"1342","2015-03-29 19:00:00-05","2016-01-16 18:00:00-06","293 days","good"
193,"1427","2015-09-19 19:00:00-05","2016-06-06 19:00:00-05","261 days","good"
241,"1813","2015-06-12 19:00:00-05","2015-12-25 18:00:00-06","196 days","good"
244,"1861","2015-02-16 18:00:00-06","2015-11-01 18:00:00-06","258 days","good"
254,"1949","2015-04-05 19:00:00-05","2015-06-16 19:00:00-05","72 days","good"
254,"1950","2015-06-16 19:00:00-05","2016-03-17 19:00:00-05","275 days","good"
262,"2059","2015-02-05 18:00:00-06","2015-06-17 19:00:00-05","132 days","good"
262,"2060","2015-06-17 19:00:00-05","2015-06-22 19:00:00-05","5 days","good"
270,"2121","2015-01-15 18:00:00-06","2015-08-12 19:00:00-05","209 days","good"
291,"2233","2015-08-05 19:00:00-05","2017-04-09 19:00:00-05","613 days","good"
300,"2292","2015-07-02 19:00:00-05","2015-11-16 18:00:00-06","137 days","good"
352,"2541","2015-01-26 18:00:00-06","2016-09-03 19:00:00-05","586 days","bad"
353,"2551","2015-03-14 19:00:00-05","2015-05-19 19:00:00-05","66 days","good"
353,"2552","2015-05-19 19:00:00-05","2015-11-23 18:00:00-06","188 days","good"
353,"2553","2015-11-23 18:00:00-06","2017-12-18 18:00:00-06","756 days","good"
385,"2805","2015-06-14 19:00:00-05","2016-01-06 18:00:00-06","206 days","good"
430,"3275","2015-01-17 18:00:00-06","2016-02-27 18:00:00-06","406 days","good"
442,"3352","2015-01-09 18:00:00-06","2015-09-01 19:00:00-05","235 days","good"
451,"3414","2015-01-08 18:00:00-06","2015-08-31 19:00:00-05","235 days","good"
451,"3415","2015-08-31 19:00:00-05","2015-11-23 18:00:00-06","84 days","good"
451,"3416","2015-11-23 18:00:00-06","2016-01-01 18:00:00-06","39 days","good"
546,"4028","2015-04-11 19:00:00-05","2015-04-12 19:00:00-05","1 day","good"
635,"4608","2015-07-24 19:00:00-05","2015-07-25 19:00:00-05","1 day","good"
635,"4609","2015-07-25 19:00:00-05","2015-09-05 19:00:00-05","42 days","good"
642,"4665","2015-02-19 18:00:00-06","2015-09-20 19:00:00-05","213 days","good"
643,"4668","2015-08-05 19:00:00-05","2015-08-27 19:00:00-05","22 days","good"
648,"4793","2015-04-28 19:00:00-05","2016-01-10 18:00:00-06","257 days","good"
650,"4883","2015-01-30 18:00:00-06","2015-10-02 19:00:00-05","245 days","bad"
650,"4884","2015-10-02 19:00:00-05","2015-11-01 18:00:00-06","30 days","bad"
736,"5345","2015-09-17 19:00:00-05","2016-02-06 18:00:00-06","142 days","good"
797,"5747","2015-04-20 19:00:00-05","2015-07-31 19:00:00-05","102 days","bad"
797,"5748","2015-07-31 19:00:00-05","2015-10-30 19:00:00-05","91 days","bad"
797,"5749","2015-10-30 19:00:00-05","2016-01-01 18:00:00-06","63 days","bad"
820,"5878","2015-01-16 18:00:00-06","2017-04-17 19:00:00-05","822 days","good"
854,"6194","2015-04-23 19:00:00-05","2016-01-18 18:00:00-06","270 days","good"
874,"6344","2015-01-16 18:00:00-06","2015-11-12 18:00:00-06","300 days","good"
902,"6587","2015-06-17 19:00:00-05","2016-01-03 18:00:00-06","200 days","good"
906,"6616","2015-02-14 18:00:00-06","2015-08-04 19:00:00-05","171 days","good"
906,"6617","2015-08-04 19:00:00-05","2015-08-31 19:00:00-05","27 days","good"
906,"6618","2015-08-31 19:00:00-05","2015-11-11 18:00:00-06","72 days","good"
1000,"7324","2015-03-18 19:00:00-05","2015-09-16 19:00:00-05","182 days","good"
1026,"7577","2015-02-18 18:00:00-06","2016-05-19 19:00:00-05","456 days","bad"
1037,"7696","2015-02-15 18:00:00-06","2015-03-12 19:00:00-05","25 days","bad"
1037,"7697","2015-03-12 19:00:00-05","2016-05-11 19:00:00-05","426 days","bad"
1039,"7726","2015-04-23 19:00:00-05","2016-01-18 18:00:00-06","270 days","good"
1090,"8186","2015-08-27 19:00:00-05","2017-04-12 19:00:00-05","594 days","good"
1097,"8315","2015-01-06 18:00:00-06","2015-03-08 19:00:00-05","61 days","good"
1128,"8463","2015-10-25 19:00:00-05","2016-02-13 18:00:00-06","111 days","good"
1136,"8494","2015-09-23 19:00:00-05","2015-10-18 19:00:00-05","25 days","good"
1136,"8495","2015-10-18 19:00:00-05","2016-03-17 19:00:00-05","151 days","good"
1141,"8520","2015-06-16 19:00:00-05","2015-10-10 19:00:00-05","116 days","good"
1141,"8521","2015-10-10 19:00:00-05","2016-05-10 19:00:00-05","213 days","good"
1172,"8763","2015-05-12 19:00:00-05","2015-08-20 19:00:00-05","100 days","good"
1172,"8764","2015-08-20 19:00:00-05","2016-02-15 18:00:00-06","179 days","good"
1201,"8951","2015-01-18 18:00:00-06","2015-04-29 19:00:00-05","101 days","good"
1219,"9086","2015-04-26 19:00:00-05","2015-07-23 19:00:00-05","88 days","good"
1225,"9116","2015-04-18 19:00:00-05","2015-09-25 19:00:00-05","160 days","good"
1225,"9117","2015-09-25 19:00:00-05","2015-12-04 18:00:00-06","70 days","good"
1277,"9484","2015-10-04 19:00:00-05","2015-10-11 19:00:00-05","7 days","good"
1298,"9686","2015-10-09 19:00:00-05","2016-05-29 19:00:00-05","233 days","bad"
1299,"9698","2015-01-04 18:00:00-06","2015-08-04 19:00:00-05","212 days","good"
1316,"9816","2015-05-27 19:00:00-05","2016-04-05 19:00:00-05","314 days","good"
1317,"9838","2015-08-02 19:00:00-05","2016-01-10 18:00:00-06","161 days","good"
1352,"10128","2015-08-14 19:00:00-05","2015-12-20 18:00:00-06","128 days","good"
1352,"10129","2015-12-20 18:00:00-06","2016-03-01 18:00:00-06","72 days","good"
1364,"10232","2015-01-30 18:00:00-06","2015-05-02 19:00:00-05","92 days","good"
1364,"10233","2015-05-02 19:00:00-05","2015-07-19 19:00:00-05","78 days","good"
1435,"10646","2015-01-12 18:00:00-06","2015-02-14 18:00:00-06","33 days","good"
1436,"10664","2015-01-12 18:00:00-06","2015-06-01 19:00:00-05","140 days","good"
1436,"10665","2015-06-01 19:00:00-05","2015-12-23 18:00:00-06","205 days","good"
1440,"10705","2015-06-08 19:00:00-05","2015-08-09 19:00:00-05","62 days","good"
1452,"10761","2015-02-14 18:00:00-06","2015-08-01 19:00:00-05","168 days","good"
1511,"11134","2015-09-18 19:00:00-05","2015-10-17 19:00:00-05","29 days","good"
1603,"11841","2015-02-09 18:00:00-06","2015-04-22 19:00:00-05","72 days","good"
1652,"12111","2015-03-19 19:00:00-05","2015-07-05 19:00:00-05","108 days","bad"
1652,"12112","2015-07-05 19:00:00-05","2016-01-02 18:00:00-06","181 days","bad"
1658,"12202","2015-05-19 19:00:00-05","2016-05-29 19:00:00-05","376 days","good"
1690,"12431","2015-04-28 19:00:00-05","2016-05-19 19:00:00-05","387 days","good"
1744,"12877","2015-03-22 19:00:00-05","2015-04-03 19:00:00-05","12 days","good"
1744,"12878","2015-04-03 19:00:00-05","2015-04-08 19:00:00-05","5 days","good"
1744,"12879","2015-04-08 19:00:00-05","2016-03-09 18:00:00-06","336 days","good"
1747,"12899","2015-06-21 19:00:00-05","2015-09-01 19:00:00-05","72 days","bad"
1747,"12900","2015-09-01 19:00:00-05","2015-10-04 19:00:00-05","33 days","bad"
1753,"12932","2015-02-12 18:00:00-06","2015-02-26 18:00:00-06","14 days","good"
1753,"12933","2015-02-26 18:00:00-06","2015-07-14 19:00:00-05","138 days","good"
1788,"13153","2015-02-11 18:00:00-06","2016-02-13 18:00:00-06","367 days","good"
1832,"13423","2015-06-06 19:00:00-05","2015-09-03 19:00:00-05","89 days","bad"
1849,"13528","2015-02-03 18:00:00-06","2015-05-02 19:00:00-05","88 days","good"
1849,"13529","2015-05-02 19:00:00-05","2015-05-10 19:00:00-05","8 days","good"
1905,"14011","2015-02-26 18:00:00-06","2015-09-17 19:00:00-05","203 days","good"
1971,"14473","2015-03-16 19:00:00-05","2015-07-02 19:00:00-05","108 days","good"
1971,"14474","2015-07-02 19:00:00-05","2015-10-14 19:00:00-05","104 days","good"
1986,"14570","2015-07-16 19:00:00-05","2016-03-20 19:00:00-05","248 days","good"
1989,"14613","2015-03-03 18:00:00-06","2017-10-15 19:00:00-05","957 days","good"
2015,"14906","2015-04-07 19:00:00-05","2015-04-18 19:00:00-05","11 days","bad"
2034,"15018","2015-03-08 19:00:00-05","2017-04-19 19:00:00-05","773 days","good"
2049,"15097","2015-05-04 19:00:00-05","2015-10-13 19:00:00-05","162 days","good"
2077,"15209","2015-05-20 19:00:00-05","2015-06-02 19:00:00-05","13 days","good"
2097,"15432","2015-11-24 18:00:00-06","2016-01-16 18:00:00-06","53 days","good"
2110,"15505","2015-10-12 19:00:00-05","2017-10-15 19:00:00-05","734 days","good"
2113,"15560","2015-01-11 18:00:00-06","2015-08-16 19:00:00-05","217 days","bad"
2172,"16166","2015-03-10 19:00:00-05","2015-08-07 19:00:00-05","150 days","good"
2191,"16270","2015-01-02 18:00:00-06","2015-10-22 19:00:00-05","293 days","good"
2214,"16414","2015-01-15 18:00:00-06","2015-08-01 19:00:00-05","198 days","good"
2228,"16536","2015-01-03 18:00:00-06","2015-01-09 18:00:00-06","6 days","good"
2264,"16766","2015-11-09 18:00:00-06","2015-11-29 18:00:00-06","20 days","good"
2264,"16767","2015-11-29 18:00:00-06","2016-02-27 18:00:00-06","90 days","good"
2290,"16857","2015-02-09 18:00:00-06","2016-01-04 18:00:00-06","329 days","good"
2363,"17495","2015-11-21 18:00:00-06","2015-11-23 18:00:00-06","2 days","good"
2369,"17594","2015-04-27 19:00:00-05","2015-05-21 19:00:00-05","24 days","bad"
