"incident_date","allegation_id","disciplined","officer1","officer2"
"2015-01-02 18:00:00-06",104086,False,22074,2191
"2015-01-02 18:00:00-06",104086,False,2191,22074
"2015-02-23 18:00:00-06",104561,False,23815,9428
"2015-02-23 18:00:00-06",104561,False,9428,23815
"2015-05-20 19:00:00-05",105485,False,31847,25717
"2015-05-20 19:00:00-05",105485,False,31847,32129
"2015-05-20 19:00:00-05",105485,False,31847,15925
"2015-05-20 19:00:00-05",105485,False,31847,32383
"2015-05-20 19:00:00-05",105485,False,31847,31855
"2015-05-20 19:00:00-05",105485,False,31847,32245
"2015-05-20 19:00:00-05",105485,False,31847,32162
"2015-05-20 19:00:00-05",105485,False,31847,26145
"2015-05-20 19:00:00-05",105485,False,25717,31847
"2015-05-20 19:00:00-05",105485,False,25717,32129
"2015-05-20 19:00:00-05",105485,False,25717,15925
"2015-05-20 19:00:00-05",105485,False,25717,32383
"2015-05-20 19:00:00-05",105485,False,25717,31855
"2015-05-20 19:00:00-05",105485,False,25717,32245
"2015-05-20 19:00:00-05",105485,False,25717,32162
"2015-05-20 19:00:00-05",105485,False,25717,26145
"2015-05-20 19:00:00-05",105485,False,32129,31847
"2015-05-20 19:00:00-05",105485,False,32129,25717
"2015-05-20 19:00:00-05",105485,False,32129,15925
"2015-05-20 19:00:00-05",105485,False,32129,32383
"2015-05-20 19:00:00-05",105485,False,32129,31855
"2015-05-20 19:00:00-05",105485,False,32129,32245
"2015-05-20 19:00:00-05",105485,False,32129,32162
"2015-05-20 19:00:00-05",105485,False,32129,26145
"2015-05-20 19:00:00-05",105485,False,15925,31847
"2015-05-20 19:00:00-05",105485,False,15925,25717
"2015-05-20 19:00:00-05",105485,False,15925,32129
"2015-05-20 19:00:00-05",105485,False,15925,32383
"2015-05-20 19:00:00-05",105485,False,15925,31855
"2015-05-20 19:00:00-05",105485,False,15925,32245
"2015-05-20 19:00:00-05",105485,False,15925,32162
"2015-05-20 19:00:00-05",105485,False,15925,26145
"2015-05-20 19:00:00-05",105485,False,32383,31847
"2015-05-20 19:00:00-05",105485,False,32383,25717
"2015-05-20 19:00:00-05",105485,False,32383,32129
"2015-05-20 19:00:00-05",105485,False,32383,15925
"2015-05-20 19:00:00-05",105485,False,32383,31855
"2015-05-20 19:00:00-05",105485,False,32383,32245
"2015-05-20 19:00:00-05",105485,False,32383,32162
"2015-05-20 19:00:00-05",105485,False,32383,26145
