"allegation_interval_days","bad_officer"
"645","False"
"1001","False"
"991","False"
"265","False"
"987","False"
"819","False"
"114","False"
"206","False"
"112","False"
"241","False"
"124","False"
"1","False"
"900","False"
"347","False"
"127","False"
"1250","False"
"485","False"
"0","False"
"130","False"
"373","False"
"14","False"
"912","False"
"735","False"
"1094","False"
"820","False"
"32","False"
"80","False"
"40","False"
"1956","False"
"60","False"
"991","False"
"1383","False"
"1722","False"
"4","False"
"171","False"
"334","False"
"60","False"
"147","False"
"97","False"
"1207","False"
"652","False"
"985","False"
"37","False"
"832","False"
"933","False"
"429","False"
"875","False"
"261","False"
"280","False"
"463","False"
"360","False"
"408","False"
"1018","False"
"776","False"
"0","False"
"3639","False"
"1386","False"
"1735","False"
"2808","False"
"127","True"
"16","True"
"232","True"
"24","True"
"78","True"
"45","True"
"39","True"
"48","True"
"24","True"
"74","True"
"56","True"
"7","True"
"102","True"
"14","True"
"192","True"
"216","True"
"47","True"
"73","True"
"144","True"
"160","True"
"77","True"
"41","True"
"50","True"
"27","True"
"16","True"
"47","True"
"76","True"
"4","True"
"39","True"
"64","True"
"74","True"
"8","True"
"218","True"
"140","True"
"97","True"
"6","True"
"90","True"
"11","True"
"354","True"
"58","True"
"12","True"
"1611","True"
"371","False"
"33","False"
"381","False"
"2","False"
"0","False"
"1131","False"
"1716","False"
"873","False"
"49","False"
"4540","False"
"536","True"
"27","True"
"19","True"
"39","True"
"48","True"
"48","True"
"71","True"
"143","True"
"63","True"
"8","True"
"137","True"
"525","True"
"181","True"
"92","True"
"106","True"
"524","False"
"307","False"
"1210","False"
"589","False"
"817","False"
"2390","False"
"139","False"
"3179","False"
"134","False"
"1075","False"
"262","False"
"525","False"
"224","False"
"1","False"
"233","False"
"97","False"
"40","False"
"830","False"
"46","False"
"203","False"
"377","False"
"0","False"
"620","False"
"157","False"
"407","False"
"61","False"
"193","False"
"22","False"
"10","False"
"80","False"
"826","False"
"1912","False"
"93","False"
"0","False"
"152","False"
"0","False"
"367","False"
"32","False"
"383","False"
"119","False"
"41","False"
"216","False"
"30","False"
"62","False"
"233","False"
"995","False"
"171","False"
"83","False"
"4","False"
"50","False"
"805","False"
"714","False"
"578","False"
"125","False"
"644","False"
"0","False"
"148","False"
"20","False"
"151","False"
"1059","False"
"379","False"
"281","False"
"319","False"
"587","False"
"50","False"
"108","False"
"157","False"
"715","False"
"355","False"
"195","False"
"1468","False"
"37","False"
"294","False"
"198","False"
"99","False"
"33","False"
"1289","False"
"525","False"
"731","False"
"656","False"
"155","False"
"106","False"
"291","False"
"259","False"
"76","False"
"11","False"
"217","False"
"44","False"
"39","False"
"41","False"
"108","False"
"167","False"
"74","False"
"62","False"
"60","False"
"0","False"
"560","False"
"150","False"
"1570","False"
"570","False"
"137","False"
"767","False"
"103","False"
"870","False"
"447","False"
"39","False"
"1044","False"
"922","False"
"8","False"
"212","False"
"445","False"
"1593","False"
"1562","False"
"60","False"
"3","False"
"606","False"
"113","False"
"221","False"
"95","False"
"719","False"
"131","False"
"23","False"
"221","False"
"729","False"
"488","False"
"34","False"
"1118","False"
"103","False"
"1703","False"
"120","False"
"1109","False"
"6","False"
"101","False"
"357","False"
"276","False"
"243","False"
"391","False"
"26","False"
"75","False"
"19","False"
"30","False"
"975","False"
"492","False"
"59","False"
"241","False"
"89","False"
"306","False"
"620","False"
"0","False"
"161","False"
"2550","False"
"494","False"
"1476","False"
"575","False"
"35","False"
"72","False"
"37","False"
"269","False"
"23","False"
"151","False"
"203","False"
"468","True"
"18","True"
"48","True"
"29","True"
"121","True"
"127","True"
"80","True"
"316","True"
"52","True"
"183","True"
"278","True"
"280","True"
"155","True"
"280","True"
"213","True"
"10","True"
"25","True"
"0","True"
"109","True"
"112","True"
"36","True"
"65","True"
"85","True"
"4","True"
"71","True"
"198","True"
"46","True"
"1","True"
"12","True"
"290","True"
"0","True"
"15","True"
"0","True"
"653","True"
"48","True"
"135","False"
"237","False"
"322","False"
