CPDB Officer ID,Self Evaluation,K Means Evalutions,D-Tree Regression Prediction,D Tree Result
7,1,1,0.999118628,1
17,0,0,0.005174479,0
19,1,1,0.998539102,1
25,1,1,1.000810085,1
34,1,1,1.00150151,1
41,1,1,0.999695901,1
49,1,1,1.000119491,1
50,1,1,0.95793225,1
51,1,1,0.998363008,1
60,1,1,0.999495635,1
61,1,1,0.998245268,1
65,0,0,0.0183999,0
67,1,1,0.996669778,1
75,0,0,0.000277013,0
76,1,1,1.001479103,1
77,1,1,1.000415065,1
78,1,1,0.996709201,1
80,1,1,0.99397217,1
82,1,1,1.001832051,1
109,1,1,1.003929167,1
113,1,1,1.000874569,1
114,1,1,0.999214814,1
116,1,1,0.997045064,1
119,1,1,1.029648767,1
132,1,1,0.999006104,1
142,1,1,0.998363008,1
164,1,1,1.020944653,1
170,1,1,0.998926434,1
181,1,1,0.998363008,1
192,1,0,0.000909019,0
193,1,1,0.998577506,1
196,1,1,0.998112157,1
200,1,1,0.996699669,1
202,1,1,0.998320685,1
210,1,1,0.998275373,1
220,1,1,0.963964233,1
222,1,1,0.999211533,1
241,1,0,-0.010924561,0
244,1,0,0.051736123,0
247,1,1,0.999577608,1
249,1,1,1.00680345,1
271,0,0,-0.009714249,0
273,1,1,0.997476164,1
278,1,1,1.000786482,1
280,1,1,0.999868919,1
283,1,1,0.998363008,1
286,1,1,0.99795652,1
287,1,1,1.011597668,1
289,1,1,0.998629855,1
294,0,0,-0.001842997,0
310,1,1,0.998963781,1
323,1,1,0.99969165,1
325,1,1,0.9997865,1
331,1,1,1.000745004,1
343,1,1,0.999341203,1
344,1,1,0.998193259,1
345,1,1,0.998320685,1
352,0,0,-0.002580793,0
353,1,1,1.000042318,1
398,1,1,0.999463023,1
402,1,1,1.00095814,1
405,1,1,0.999137064,1
425,0,0,0.000728291,0
440,1,1,0.998926434,1
445,1,1,0.999107121,1
450,1,1,0.999364807,1
459,1,1,1.000959499,1
461,1,1,0.998982167,1
464,1,1,1.000119491,1
471,1,1,0.998940178,1
488,1,1,1.00059912,1
490,1,1,0.998245268,1
494,1,1,0.999218906,1
505,1,1,0.999073518,1
516,1,1,0.998222634,1
529,0,0,-0.001108574,0
545,1,1,0.999127945,1
549,1,1,0.99647785,1
554,1,1,0.999006104,1
556,1,1,0.998196819,1
565,1,1,1.002352955,1
567,1,1,0.998363008,1
568,1,1,0.99928843,1
613,1,1,1.000786482,1
617,1,0,-0.009714249,0
627,1,1,0.998387001,1
628,0,0,-0.000259724,0
630,1,1,0.998573679,1
633,0,0,0.002839468,0
641,1,1,0.998706096,1
644,1,1,0.999709327,1
645,0,0,0.003312455,0
653,1,1,1.03127318,1
654,1,1,0.998203722,1
680,1,1,0.996666092,1
694,1,1,0.997739152,1
697,1,1,0.999052805,1
704,1,1,0.962972808,1
720,1,1,1.000579603,1
734,1,1,1.001100485,1
739,1,1,0.999164636,1
747,0,0,0.000108775,0
752,1,1,0.998672178,1
